Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7kt9e9LFSpN1zQtYEl19o1,"06HL4z0CvFAxyc27GXpf02","this is me trying","folklore","Taylor Swift",2020-07-24,195097,72,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.515,0.476,9,-9.843,1,0.0328,0.314,0.0000474,0.171,0.412,135.886,4
2qLyo5FeWquE7HBUbcVnEy,"74KM79TiuVKeVCqs8QtB0B","emails i can’t send","emails i can't send","Sabrina Carpenter",2022-07-15,104408,73,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.515,0.387,7,-10.614,1,0.192,0.757,0,0.622,0.408,86.313,3
6HJizCbaqaEQG1eLjn341Z,"3QSQFmccmX81fWCUSPTS7y","Hurtless","Hurtless","Dean Lewis",2022-03-31,180274,57,spotify:user:biels09,2024-05-02T14:01:10Z,"australian pop,pop",0.37,0.559,0,-5.589,1,0.0526,0.186,0,0.121,0.316,162.816,4
2TOzTqQXNmR2zDJXihjZ2e,"1McMsnEElThX1knmY4oliG","enough for you","SOUR","Olivia Rodrigo",2021-05-21,202826,75,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.638,0.259,7,-10.706,1,0.0898,0.753,0,0.219,0.269,88.485,4
0YywjDvFudcaHG74NuWISy,"2WX2uTcsvV5OnS0inACecP","People Help the People","Birdy","Birdy",2011-11-04,256236,67,spotify:user:biels09,2024-05-02T14:01:10Z,"neo mellow,uk pop,viral pop",0.433,0.308,10,-9.001,0,0.0291,0.778,0.0000146,0.092,0.153,73.331,3
1Fid2jjqsHViMX6xNH70hE,"4Ly0KABsxlx4fNj63zJTrF","Atlantis","Tell Me It's Real (Expanded Edition)","Seafret",2016-01-29,229173,82,spotify:user:biels09,2024-05-02T14:01:10Z,"folk-pop",0.4,0.479,8,-7.989,0,0.0308,0.0529,0.00000214,0.115,0.213,166.159,4
3hRV0jL3vUpRrcy398teAU,"6ltzsmQQbmdoHHbLZ4ZN25","The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,88,spotify:user:biels09,2024-05-02T14:01:10Z,"indie folk,stomp and holler",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
4KlL5Bwlm4yHYxr0B2rHci,"2txHhyCwHjUEpJjWrEyqyX","Heal","Long Way Down (Deluxe)","Tom Odell",2013-06-24,193080,70,spotify:user:biels09,2024-05-02T14:01:10Z,"chill pop",0.445,0.179,1,-12.938,1,0.0396,0.952,0.00056,0.107,0.119,72.246,4
3pHkh7d0lzM2AldUtz2x37,"06HL4z0CvFAxyc27GXpf02","The Archer","Lover","Taylor Swift",2019-08-23,211240,75,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,4
7qcXUzPwoxSBFxjTbNrV0B,"5wFXmYsg3KFJ8BDsQudJ4f,1r1uxoy19fzMxunt3ONAkG","The Gold - Phoebe Bridgers Version","The Gold (Phoebe Bridgers Version)","Manchester Orchestra,Phoebe Bridgers",2018-07-13,233226,70,spotify:user:biels09,2024-05-02T14:01:10Z,"indie rock,indie pop,la indie,pov: indie",0.299,0.399,10,-12.176,1,0.0376,0.816,0.00117,0.147,0.302,158.253,3
0zMzyHAeMvwq5CRstru1Fp,"2WzaAvm2bBCf4pEhyuDgCY","Lost Boy","Safe Haven","Ruth B.",2017-05-05,276066,68,spotify:user:biels09,2024-05-02T14:01:10Z,"alt z,canadian contemporary r&b,canadian pop,pop",0.586,0.128,7,-9.297,1,0.0496,0.963,0,0.0858,0.371,123.498,4
5WtfUKzXircvW8l5aaVZWT,"0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4","What A Time (feat. Niall Horan)","Inner Monologue Part 1","Julia Michaels,Niall Horan",2019-01-24,173306,74,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,4
0VhgEqMTNZwYL1ARDLLNCX,"4IWBUUAFIplrNtaOHcJPRM","Can I Be Him","Back from the Edge","James Arthur",2016-10-28,246880,77,spotify:user:biels09,2024-05-02T14:01:10Z,"pop,talent show,uk pop",0.696,0.543,11,-6.164,1,0.0489,0.308,0,0.0939,0.479,107.969,4
12OLyHDxt6dqlAybSPFBK3,"4GNC7GD6oZMSxPGyXy4MNB","Forever","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,210863,71,spotify:user:biels09,2024-05-02T14:01:10Z,"pop,uk pop",0.646,0.355,1,-7.119,1,0.0263,0.873,0,0.115,0.364,84.988,4
5hwh37sTi84MVhCBMWzhGE,"2WzaAvm2bBCf4pEhyuDgCY","Superficial Love","The Intro","Ruth B.",2015-11-27,207973,61,spotify:user:biels09,2024-05-02T14:01:10Z,"alt z,canadian contemporary r&b,canadian pop,pop",0.477,0.242,8,-9.162,1,0.0529,0.928,0,0.0818,0.488,43.509,4
5vjLSffimiIP26QG5WcN2K,"5D3muNJhYYunbRkh3FKgX0","Hold On","Hold On","Chord Overstreet",2017-02-03,198853,77,spotify:user:biels09,2024-05-02T14:01:10Z,"acoustic pop,singer-songwriter pop",0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4
5Ohxk2dO5COHF1krpoPigN,"6KImCVD70vtIoJWnq6nGn3","Sign of the Times","Harry Styles","Harry Styles",2017-05-12,340706,81,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,4
63hHlajVLQnlFMAqSyePxO,"00FQb4jTyendYWaN8pK0wa","Black Beauty","Ultraviolence (Deluxe)","Lana Del Rey",2014-01-01,314533,70,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop",0.32,0.529,5,-7.595,1,0.0436,0.27,0.0136,0.0942,0.103,119.898,4
3p4hRhMcb6ch8OLtATMaLw,"1QAJqy2dA3ihHBFIHRphZj","Cry","Cry","Cigarettes After Sex",2019-10-25,256799,83,spotify:user:biels09,2024-05-02T14:01:10Z,"ambient pop,dream pop,el paso indie,shoegaze",0.408,0.398,7,-10.448,1,0.0277,0.758,0.654,0.112,0.165,142.834,4
3rJDsZjIaCfJQSqRUvl0BM,"1r1uxoy19fzMxunt3ONAkG","Funeral","Stranger in the Alps","Phoebe Bridgers",2017-09-22,232373,64,spotify:user:biels09,2024-05-02T14:01:10Z,"indie pop,la indie,pov: indie",0.218,0.263,11,-14.416,1,0.0376,0.947,0.00028,0.0919,0.307,170.724,4
1wNShKVE7vEZbdGGRqaMYn,"6cobSlBViyY8I5N1XiA5z2","Second Nature","Second Nature","Milly Boden",2024-06-21,244500,22,spotify:user:biels09,2024-06-25T12:30:09Z,"",0.579,0.725,0,-5.132,0,0.0433,0.435,0.000012,0.125,0.246,140.023,4
6xGruZOHLs39ZbVccQTuPZ,"3MZsBdqDrRTJihTHQrO6Dq","Glimpse of Us","Glimpse of Us","Joji",2022-06-10,233456,78,spotify:user:biels09,2024-05-02T14:01:10Z,"viral pop",0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,3
2VDTqhsSzrRxsbjvv4KLPl,"3QSQFmccmX81fWCUSPTS7y","Memories","Memories","Dean Lewis",2024-02-01,179534,66,spotify:user:biels09,2024-05-02T14:01:10Z,"australian pop,pop",0.569,0.393,2,-6.507,1,0.0411,0.797,0,0.123,0.405,128.704,4
1xK59OXxi2TAAAbmZK0kBL,"5y8tKLUfMvliMe8IKamR32","Romantic Homicide","Romantic Homicide","d4vd",2022-07-20,132630,86,spotify:user:biels09,2024-05-02T14:01:10Z,"bedroom pop",0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,4
4bt7eqP7mfWduRBKEpCAzM,"45dkTj5sMRSjrmBSBeiHym","chaotic","i used to think i could fly","Tate McRae",2022-05-27,175533,65,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.663,0.374,5,-6.987,1,0.0367,0.54,0,0.101,0.351,106.967,4
4HbeGjbt7u3pvwDk1vN7P0,"4MXUO7sVCaFgFjoTI5ox5c","Mystery of Love","Call Me By Your Name (Original Motion Picture Soundtrack)","Sufjan Stevens",2017-11-03,248964,63,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,baroque pop,chamber pop,indie pop,indie rock,singer-songwriter",0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,5
71BWZa1liIRyUiuJ3MB66o,"5szilpXHcwOqnyKLqGco5j","I Know You","Faye Webster","Faye Webster",2017-05-12,251666,76,spotify:user:biels09,2024-05-02T14:01:10Z,"atlanta indie,indie pop",0.454,0.385,10,-12.849,1,0.0313,0.287,0.0000997,0.0616,0.144,154.918,4
6PnluwP0fjGnpIBsqTdUTq,"00FQb4jTyendYWaN8pK0wa","Pretty When You Cry","Ultraviolence (Deluxe)","Lana Del Rey",2014-01-01,234146,75,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop",0.509,0.547,10,-6.548,0,0.0417,0.399,0,0.215,0.197,109.436,4
46RNrAkGsqWTDrv2ZPOAbx,"1r1uxoy19fzMxunt3ONAkG","Moon Song","Punisher","Phoebe Bridgers",2020-06-18,277676,66,spotify:user:biels09,2024-05-02T14:01:10Z,"indie pop,la indie,pov: indie",0.339,0.243,1,-12.512,1,0.056,0.869,0.00369,0.107,0.183,154.909,3
2fmyrECK6bdfoGven0UMZx,"4IWBUUAFIplrNtaOHcJPRM","Naked","YOU","James Arthur",2019-10-18,233400,68,spotify:user:biels09,2024-05-02T14:01:10Z,"pop,talent show,uk pop",0.525,0.61,6,-6.793,1,0.0404,0.084,0,0.0572,0.293,101.875,4
7rJkmoGkKjLMIPI9qUQnSy,"22wbnEMDvgVIAGdFeek6ET","Beautiful Things - Acoustic","Beautiful Things (Alternate Versions)","Benson Boone",2024-02-23,201248,64,spotify:user:biels09,2024-05-02T14:01:10Z,"singer-songwriter pop",0.51,0.339,10,-6.904,1,0.0622,0.603,0,0.0911,0.239,132.674,4
26hOm7dTtBi0TdpDGl141t,"3MZsBdqDrRTJihTHQrO6Dq","Die For You","SMITHEREENS","Joji",2022-11-04,211666,75,spotify:user:biels09,2024-05-02T14:01:10Z,"viral pop",0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,4
5hnGrTBaEsdukpDF6aZg8a,"3QSQFmccmX81fWCUSPTS7y","How Do I Say Goodbye","How Do I Say Goodbye","Dean Lewis",2022-08-31,163603,73,spotify:user:biels09,2024-05-02T14:01:10Z,"australian pop,pop",0.4,0.641,8,-6.303,1,0.0674,0.214,0,0.0656,0.393,81.552,4
1kr0XkYcWe2HTuCFN3BuGA,"0nugNBwdWaptgIAsEtx1It","House Song","House Song","Searows",2023-02-03,294189,65,spotify:user:biels09,2024-05-02T14:01:10Z,"indie pop,modern indie folk",0.293,0.131,2,-18.658,1,0.039,0.886,0.14,0.105,0.123,78.885,4
2769RhOZs0ezRncRW1vryp,"6P5NO5hzJbuOqSdyPB7SJM,37M5pPGs6V1fchFJSgCguX","Till Forever Falls Apart","Till Forever Falls Apart","Ashe,FINNEAS",2021-03-02,222860,64,spotify:user:biels09,2024-05-02T14:01:10Z,"alt z,la indie,pop,pov: indie",0.509,0.498,2,-6.94,1,0.0315,0.413,0,0.0674,0.283,99.729,4
0j1Ia2lQWrcXrQZI4AdJlk,"6sFHvCyqklnJpXC9Nh1aag","IDK You Yet","IDK You Yet (Live on Piano)","Alexander 23",2020-06-23,184638,71,spotify:user:biels09,2024-05-21T14:10:54Z,"alt z,singer-songwriter pop",0.648,0.308,1,-11.729,1,0.04,0.886,0.0774,0.124,0.198,76.997,1
26MJjeJ0NSOQDKeZzrEFMl,"1GmsPCcpKgF9OhlNXjOsbS,37M5pPGs6V1fchFJSgCguX","hate to be lame","five seconds flat","Lizzy McAlpine,FINNEAS",2022-04-08,156798,63,spotify:user:biels09,2024-05-21T14:09:02Z,"alt z,boston folk,indie pop,singer-songwriter pop,la indie,pop,pov: indie",0.522,0.251,10,-12.626,0,0.0603,0.871,0.000258,0.0769,0.303,137.366,3
4R2kfaDFhslZEMJqAFNpdd,"06HL4z0CvFAxyc27GXpf02","cardigan","folklore","Taylor Swift",2020-07-24,239560,84,spotify:user:biels09,2024-05-21T14:07:54Z,"pop",0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4
7zw6nQHTwml1mVuQDf5V6k,"37M5pPGs6V1fchFJSgCguX","Break My Heart Again","Blood Harmony (Deluxe)","FINNEAS",2020-08-07,237979,67,spotify:user:biels09,2024-05-21T14:13:38Z,"alt z,la indie,pop,pov: indie",0.401,0.151,4,-14.227,0,0.042,0.905,0,0.0942,0.478,144.137,4
1xTw4FBlEtaZGuxbybDZKi,"2e6l2oHiK9UszKm6jVT1AG","DLTTI","DLTTI","THERA",2024-06-07,250388,30,spotify:user:biels09,2024-06-30T16:46:11Z,"",0.686,0.446,6,-10.273,0,0.057,0.364,0,0.0866,0.352,119.908,4
5AwRTty8S37IDyhRABJ5wV,"6jGs8lugz7t4EaONysPlTe","Uh-Oh Apathy","Uh-Oh Apathy","The Last Morrell",2024-05-03,257706,22,spotify:user:biels09,2024-07-02T23:01:26Z,"",0.507,0.651,0,-7.975,1,0.03,0.109,0.488,0.109,0.207,82.031,4
