"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1dzQoRqT5ucxXVaAhTcT0J","Just Dance","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:7fObcBw9VM3x7ntWKCYl0z","Lady Gaga, Colby O'Donis","spotify:album:1qwlxZTNLe1jq3b0iidlue","The Fame","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2008-01-01","https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2","1","1","241933","https://p.scdn.co/mp3-preview/95cc6f61db841d49e062c94e68a62a89da0c46c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM70807646","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3DmW6y7wTEYHJZlLo1r6XJ","Shower","spotify:artist:4obzFoKoKRHIphyHzJ35G3","Becky G","spotify:album:4JlzEvVJqpb62Xwc0EmOHr","Shower","spotify:artist:4obzFoKoKRHIphyHzJ35G3","Becky G","2014-04-23","https://i.scdn.co/image/ab67616d0000b273f7f5503cfc6a54d31e65b112","1","1","206166","https://p.scdn.co/mp3-preview/147f604daafe57187f50f6dafa5a052262eedad5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USRC11400866","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:09CtPGIpYB4BrO8qb1RGsF","Sorry","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:6Fr2rQkZ383FcMqFyT7yPr","Purpose (Deluxe)","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2015-11-13","https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de","1","4","200786","https://p.scdn.co/mp3-preview/eca5a32b13f68f700b06e06ffdc8110e61e232ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUM71516760","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2bjUEg4jBtKBlPdNrTAppI","Easier","spotify:artist:5Rl15oVamLq7FbSb0NNBNy","5 Seconds of Summer","spotify:album:46K4raQPIGem3N031upNj9","CALM","spotify:artist:5Rl15oVamLq7FbSb0NNBNy","5 Seconds of Summer","2020-03-27","https://i.scdn.co/image/ab67616d0000b273726005f0f81903e157d9dbc7","1","4","158098","https://p.scdn.co/mp3-preview/5e63848683c6607187195fe31bc57ca5d0879a2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USUG11901520","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:35mvY5S1H3J2QZyna3TFe0","positions","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:3euz4vS7ezKGnNSwgyvKcd","Positions","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2020-10-30","https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605","1","12","172324","https://p.scdn.co/mp3-preview/bcab917e186664a542f5fff3ba74708527d525b6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUM72019412","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0TwBtDAWpkpM3srywFVOV5","Crazy In Love (feat. Jay-Z)","spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Beyoncé, JAY-Z","spotify:album:06v9eHnqhMK2tbM2Iz3p0Y","Dangerously In Love","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2003-03-10","https://i.scdn.co/image/ab67616d0000b273a9fd4a0405945cd51e8de130","1","1","235933","https://p.scdn.co/mp3-preview/bcd82e2e27606ec0a0d024e10dfdec5c58188a53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSM10305425","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:76cy1WJvNGJTj78UqeA5zr","IDGAF","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2017-06-02","https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc","1","5","217946","https://p.scdn.co/mp3-preview/5338a987bfe51f8365bf43b899ecd8a83df83226?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","GBAHT1600301","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ACOWPLUe4A4KuQ5ioD2od","That's My Girl","spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","spotify:album:0pF0oyuPNdOObniB1Ng0kW","7/27 (Deluxe)","spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","2016-05-27","https://i.scdn.co/image/ab67616d0000b273d03fa6f4e758282b7920b5c8","1","1","204013","https://p.scdn.co/mp3-preview/267c68e23bb5bb75332451175fae4a8ba3ddb2f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM11601117","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1KixkQVDUHggZMU9dUobgm","My Head & My Heart","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","spotify:album:26c7MmQ4w8EAvVLb4jilaM","Heaven & Hell","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","2020-09-18","https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7","1","1","174760","https://p.scdn.co/mp3-preview/60f31c477e494d379c3eb8e6ff15d8007d0cbe0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USAT22007121","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6FB3v4YcR57y4tXFcdxI1E","I Knew You Were Trouble.","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4jTYApZPMapg56gRycOn0D","Red (Big Machine Radio Release Special)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2012-10-22","https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec","1","8","219720","https://p.scdn.co/mp3-preview/9acb9a869e7bd8e7154c7d816c59f4cda6a42447?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USCJY1231039","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2tnVG71enUj33Ic2nFN6kZ","Ride It","spotify:artist:4ofCBoyEiGSePFAG500xev","Regard","spotify:album:4zOhjJfe0dwqsNdDYk622E","Ride It","spotify:artist:4ofCBoyEiGSePFAG500xev","Regard","2019-07-26","https://i.scdn.co/image/ab67616d0000b2735c27813ae019011fcb370c78","1","1","157605","https://p.scdn.co/mp3-preview/ce29bb243cf40118b87070b00a49822e09a317b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBCEN1900047","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1kPpge9JDLpcj15qgrPbYX","Good Time","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6, spotify:artist:6sFIWsNpZYqfjUpaCgueju","Owl City, Carly Rae Jepsen","spotify:album:7gTFf2EWBONpjKVjpWbs5p","The Midsummer Station","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","2012-08-17","https://i.scdn.co/image/ab67616d0000b273cf5459850259268f98b07f7a","1","7","205933","https://p.scdn.co/mp3-preview/948112ba8bf947a429389e2dd71c990989027a7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM71206288","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3Dv1eDb0MEgF93GpLXlucZ","Say So","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:1MmVkhiwTH0BkNOU3nw5d3","Hot Pink","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2019-11-07","https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b","1","5","237893","https://p.scdn.co/mp3-preview/7131c09d3479d06d84281176255c851d88f6670b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USRC11903454","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2K87XMYnUMqLcX3zvtAF4G","Drag Me Down","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:1gMxiQQSg5zeu4htBosASY","Made In The A.M. (Deluxe Edition)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2015-11-13","https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3","1","2","192120","https://p.scdn.co/mp3-preview/e7076008e9bccbf5c30ba62adb18a20040987f04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBHMU1500070","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","Closer","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:26VFTg2z8YR0cCuwLzESi2","The Chainsmokers, Halsey","spotify:album:0rSLgV8p5FzfnqlEk4GzxE","Closer","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:26VFTg2z8YR0cCuwLzESi2","The Chainsmokers, Halsey","2016-07-29","https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453","1","1","244960","https://p.scdn.co/mp3-preview/cfd565c4d3c621771e6d25d99749b9fc200e396c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USQX91601347","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2GxrNKugF82CnoRFbQfzPf","i like the way you kiss me","spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2","Artemas","spotify:album:5HIWDdg3g9CTOtnevKDl1z","i like the way you kiss me","spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2","Artemas","2024-03-19","https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738","1","1","142514","https://p.scdn.co/mp3-preview/6ce9233edb212fe7cf02273f4369d2c60c28e887?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","QZJ842400387","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ez6qvOTHKeI3ss80NGqnI","Trampoline (with ZAYN)","spotify:artist:3KwmxIhSe9UTSEF37kwngR, spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","SHAED, ZAYN","spotify:album:5wg6T8bCVnRk3ToKy0yXG5","Melt (Deluxe)","spotify:artist:3KwmxIhSe9UTSEF37kwngR","SHAED","2019-12-27","https://i.scdn.co/image/ab67616d0000b2732752c64f94f9b37ba08f0f22","1","15","184280","https://p.scdn.co/mp3-preview/830c8fa6ebce58edf8d9847fe3725cc7b54ac245?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QZ47A1900210","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4bJygwUKrRgq1stlNXcgMg","All The Things She Said","spotify:artist:2Q3eZMfDQgT8MhPowKFXYO","t.A.T.u.","spotify:album:4vyPN44zoiJXE6hruCCrGB","200 KM/H In The Wrong Lane (10th Anniversary Edition)","spotify:artist:2Q3eZMfDQgT8MhPowKFXYO","t.A.T.u.","2002","https://i.scdn.co/image/ab67616d0000b2733b27e1cd8a6bc6804c2e5fd2","1","3","214440","https://p.scdn.co/mp3-preview/83c9f53e1a532bd05e3cb088c4112c7fe8c2ffab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","RUA110100098","spotify:user:","1970-01-01T00:00:00Z"
