"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0EcQcdcbQeVJn9fknj44Be","I Like Me Better","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","spotify:album:71cQY3dUThCY6vVKaUIXqR","I met you when I was 18. (the playlist)","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","2018-05-31","https://i.scdn.co/image/ab67616d0000b273bdea30b86b37142ec99deb78","1","1","197436","https://p.scdn.co/mp3-preview/57bf51d254e2e01819ec8e013f4ed1c1fff8e50e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBWWP1702907","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4SqWKzw0CbA05TGszDgMlc","I Love You So","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","spotify:album:7ucm85tRsWk6EyVHaYAxe9","I Love You So","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","2014-11-28","https://i.scdn.co/image/ab67616d0000b2739214ff0109a0e062f8a6cf0f","1","1","160239","https://p.scdn.co/mp3-preview/83919b3d62a4ae352229c0a779e8aa0c1b2f4f40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","TCACC1438995","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:06Kyj7sv2HzZPu4Vt4wfcO","Clouds (with Sabrina Carpenter)","spotify:artist:1oDUPFTxn5JyS8MxUe9ko4, spotify:artist:74KM79TiuVKeVCqs8QtB0B","Fin Argus, Sabrina Carpenter","spotify:album:6LGAFuDtpOFLOU2UhGGbg4","Clouds (with Sabrina Carpenter)","spotify:artist:1oDUPFTxn5JyS8MxUe9ko4, spotify:artist:74KM79TiuVKeVCqs8QtB0B","Fin Argus, Sabrina Carpenter","2020-10-09","https://i.scdn.co/image/ab67616d0000b273a1c92db918f0ba6822154cbc","1","1","184903","https://p.scdn.co/mp3-preview/b8b8f9f3d2b1e86dff5f634bb93da5a5ef715e35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USUG12003837","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:29VLdEqFvd0l4JFscCnrp7","Just My Type","spotify:artist:7gAppWoH7pcYmphCVTXkzs","The Vamps","spotify:album:0VKcOEVdDLf95KdHfBw9AR","Night & Day (Day Edition)","spotify:artist:7gAppWoH7pcYmphCVTXkzs","The Vamps","2018-07-13","https://i.scdn.co/image/ab67616d0000b2730c232fde2858d83554d58841","1","1","211360","https://p.scdn.co/mp3-preview/99693cd232910d93b8119fba3b9c26c30e032d9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBUM71801469","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1K39ty6o1sHwwlZwO6a7wK","Wildest Dreams (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:64LU4c1nfjz1t4VnGhagcg","1989 (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2023-10-26","https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac","1","9","220433","https://p.scdn.co/mp3-preview/54006386f42e62ed2a899f3127ff16b774295d72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUG12103658","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2f0pn9DkEJwAzXApnFh5cr","Someone To You","spotify:artist:4qWnlmXWuGv2TtuxtIWlJX","BANNERS","spotify:album:7jPoliCU7TRA13Wro32AOD","Where The Shadow Ends","spotify:artist:4qWnlmXWuGv2TtuxtIWlJX","BANNERS","2019-10-04","https://i.scdn.co/image/ab67616d0000b273f1bff89049561177b7cccebb","1","3","219801","https://p.scdn.co/mp3-preview/175723afbd4e226b4b6bd57fcb9d43b27550d61a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUM71705215","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6mQLN3zRtAp6ovjusyYKrV","Rewrite The Stars (with James Arthur & Anne-Marie)","spotify:artist:4IWBUUAFIplrNtaOHcJPRM, spotify:artist:1zNqDE7qDGCsyzJwohVaoX","James Arthur, Anne-Marie","spotify:album:4i7GEsKuuCtECD5l0VUctL","Rewrite The Stars (with James Arthur & Anne-Marie)","spotify:artist:4IWBUUAFIplrNtaOHcJPRM, spotify:artist:1zNqDE7qDGCsyzJwohVaoX","James Arthur, Anne-Marie","2018-10-25","https://i.scdn.co/image/ab67616d0000b273fdcd66dc526a25e1555ae81d","1","1","218293","https://p.scdn.co/mp3-preview/cf2a0c017f413de261c49290bf41a6d4fe5551d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USAT21811554","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0ND8rF8oirMXtE59n585P6","17","spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m","Julia Michaels","spotify:album:2f4Ejh4Po2rpuXSYa6IDCe","Inner Monologue Part 2","spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m","Julia Michaels","2019-06-28","https://i.scdn.co/image/ab67616d0000b273392fe1e2e2719b901c07b827","1","1","182800","https://p.scdn.co/mp3-preview/f81e29b56e8b5f54289cb3e8a0beff1f2779d66c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USUM71912027","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:34RmzDXMv0ELSQTK4pNvX3","Sunkissed","spotify:artist:0lawSNBxNgJFQYJnQzLH8c","khai dreams","spotify:album:4rfUHJjRb1Ywh0Gg8SEUcA","Now and Then","spotify:artist:0lawSNBxNgJFQYJnQzLH8c","khai dreams","2019-10-11","https://i.scdn.co/image/ab67616d0000b273beb9f908999e5b2e3dbe2ca6","1","1","126464","https://p.scdn.co/mp3-preview/dd6c3564098aca43695a239ad3fb764af3f81ce7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","QZFZ21993822","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3jjujdWJ72nww5eGnfs2E7","Adore You","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:7xV2TzoaVc0ycW7fwBwAml","Fine Line","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-12-13","https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a","1","3","207133","https://p.scdn.co/mp3-preview/a42d5e9f6f5c3375db9723bb2356239351eead31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USSM11912588","spotify:user:","1970-01-01T00:00:00Z"
