Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7LR85XLWw2yXqKBSI5brbG,"3nFkdlSjzX9mRTtwJOzDYB,5pKCCKE2ajJHZ9KAiaK11H,5K4W6rqBFWDnAN6FQUkS6x","Run This Town","The Blueprint 3","JAY-Z,Rihanna,Kanye West",2009-09-08,267520,76,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-13T19:31:21Z,"east coast hip hop,gangster rap,hip hop,pop rap,rap,barbadian pop,pop,urban contemporary,chicago rap",0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,4
22L7bfCiAkJo5xGSQgmiIO,"5K4W6rqBFWDnAN6FQUkS6x","All Of The Lights","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,299613,76,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-13T19:31:28Z,"chicago rap,hip hop,rap",0.531,0.803,1,-3.284,1,0.0717,0.0796,0.0000171,0.176,0.221,142.113,4
1LmN9SSHISbtp9LoaR5ZVJ,"04gDigrS5kc9YWfZHwBETP,137W8MRPWKqSmrBGDBFSop","Payphone","Overexposed","Maroon 5,Wiz Khalifa",2021-06-20,231386,66,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-13T19:35:26Z,"pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",0.739,0.756,4,-4.828,1,0.0393,0.0136,0,0.37,0.522,110.028,4
4gbVRS8gloEluzf0GzDOFc,"04gDigrS5kc9YWfZHwBETP","Maps","V","Maroon 5",2014-09-02,189960,83,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-13T19:35:29Z,"pop",0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,4
1oew3nFNY3vMacJAsvry0S,"0kkxsdcaWmWU2yWAqclDh4","Me And My Broken Heart","Let The Road","Rixton",2014-01-01,193733,75,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-13T19:35:41Z,"post-teen pop,talent show,teen pop,viral pop",0.545,0.783,5,-4.261,0,0.0345,0.00489,0,0.132,0.551,174.084,4
7icwQvajsokotDfM3tefW6,"3DbwFQlvLxRSi2uX8mf81A","SkeeYee","Hood Hottest Princess","Sexyy Red",2023-06-09,157125,72,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-14T16:51:06Z,"trap queen",0.771,0.689,1,-5.022,1,0.0682,0.0251,0,0.645,0.65,82.503,4
7KA4W4McWYRpgf0fWsJZWB,"4V8LLVI7PbaPR0K2TGSxFF,1U1el3k54VvEUzo3ybLPlM","See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator,Kali Uchis",2017-07-21,180386,89,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-28T00:16:11Z,"hip hop,rap,colombian pop",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
2iUmqdfGZcHIhS3b9E9EWq,"0RpddSzUHfncUWNJXKOsjy","Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,79,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-28T03:44:22Z,"modern rock,neo mellow,pop rock,pov: indie",0.471,0.924,8,-3.906,1,0.0584,0.00301,0,0.313,0.716,154.962,4
7E1dQbOk1qcx9gEPUMBKsk,"1uNFoZAHBGtllmzznpCI3s","Maria","Believe (Deluxe Edition)","Justin Bieber",2012-06-15,248293,67,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-05-26T01:35:30Z,"canadian pop,pop",0.825,0.687,6,-6.794,0,0.0414,0.00997,0.0000132,0.19,0.294,111.002,4
2DNXgvkyv35vTWvdgjs7qn,"2FXC3k01G6Gw61bmprjgqS","Someone New","Hozier (Expanded Edition)","Hozier",2014-09-19,222813,72,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-05-26T01:35:42Z,"irish singer-songwriter,modern rock,pop,pov: indie",0.443,0.533,7,-5.956,1,0.0473,0.429,0.00000366,0.332,0.596,183.791,4
2hKdd3qO7cWr2Jo0Bcs0MA,"3FUY2gzHeIiaesXtOAdB7A","Drops of Jupiter (Tell Me)","Drops Of Jupiter","Train",2001-03-27,259933,81,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-05-26T01:35:53Z,"dance pop,neo mellow,pop,pop rock",0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,4
