Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3AJwUDP919kvQ9QcozQPxg,"4gzpq5DPGxSnKTe4SA8HAU","Yellow","Parachutes","Coldplay",2000-07-10,266773,89,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-16T13:41:21Z,"permanent wave,pop",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
5qaEfEh1AtSdrdrByCP7qR,"53XhwfbYqKCa1cC15pYq2q","Demons","Night Visions","Imagine Dragons",2012-09-04,177506,83,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-16T14:55:53Z,"modern rock,pop,rock",0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.269,0.419,89.929,4
1BxfuPKGuaTgP7aM0Bbdwr,"06HL4z0CvFAxyc27GXpf02","Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,92,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-19T17:57:46Z,"pop",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
4nVBt6MZDDP6tRVdQTgxJg,"4AK6F7OLvEQ5QYCBNiQWHq","Story of My Life","Midnight Memories (Deluxe)","One Direction",2013-11-25,245493,83,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-22T03:20:34Z,"boy band,pop,post-teen pop,talent show",0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,4
4ylWMuGbMXNDgDd8lErEle,"5F1aoppMtU3OMiltO8ymJ2,7HV2RI2qNug4EcQqLbCAKS,6U1dBXJhC8gXFjamvFTmHg,6sCbFbEjbYepqswM1vWjjs,63nv0hWWDob56Rk8GlNpN8","The Greatest Show","The Greatest Showman (Original Motion Picture Soundtrack)","Hugh Jackman,Keala Settle,Zac Efron,Zendaya,The Greatest Showman Ensemble",2017-12-08,302146,69,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-25T15:03:52Z,"hollywood,show tunes,broadway,movie tunes,post-teen pop,pop",0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,4
2cKovq3l6OJjhVVDbVKOsr,"5F1aoppMtU3OMiltO8ymJ2,6U1dBXJhC8gXFjamvFTmHg","The Other Side","The Greatest Showman (Original Motion Picture Soundtrack)","Hugh Jackman,Zac Efron",2017-12-08,214373,71,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-25T15:04:30Z,"hollywood,show tunes,movie tunes,post-teen pop",0.638,0.795,0,-8.45,1,0.302,0.00433,0.00139,0.153,0.31,153.99,4
45aBsnKRWUzhwbcqOJLwfe,"7HV2RI2qNug4EcQqLbCAKS,63nv0hWWDob56Rk8GlNpN8","This Is Me","The Greatest Showman (Original Motion Picture Soundtrack)","Keala Settle,The Greatest Showman Ensemble",2017-12-08,234706,70,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-25T15:04:44Z,"broadway,hollywood,show tunes,movie tunes",0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,4
7fa9MBXhVfQ8P8Df9OEbD8,"04gDigrS5kc9YWfZHwBETP,4kYSro6naA4h99UJvo89HB","Girls Like You (feat. Cardi B) - Cardi B Version","Red Pill Blues (Deluxe)","Maroon 5,Cardi B",2018-06-15,235545,71,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-26T16:28:24Z,"pop,rap",0.779,0.541,0,-6.824,1,0.0658,0.566,0,0.13,0.447,124.939,4
06KyNuuMOX1ROXRhj787tj,"6VuMaDnrHyPL1p4EHjYLi7,0C8ZW7ezQVs4URX5aX7Kqx","We Don't Talk Anymore (feat. Selena Gomez)","Nine Track Mind","Charlie Puth,Selena Gomez",2016-01-29,217706,79,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-28T02:35:15Z,"pop,viral pop,post-teen pop",0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,4
3zkWCteF82vJwv0hRLba76,"7n2wHs1TKAczGzO7Dd2rGr","Stitches","Handwritten","Shawn Mendes",2015-04-14,206880,66,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-28T02:48:17Z,"canadian pop,pop,viral pop",0.752,0.754,1,-6.684,1,0.0615,0.0151,0,0.0486,0.755,149.789,4
1u8c2t2Cy7UBoG4ArRcF5g,"06HL4z0CvFAxyc27GXpf02","Blank Space","1989 (Deluxe)","Taylor Swift",2014-01-01,231826,80,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-28T02:49:48Z,"pop",0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4
1EzrEOXmMH3G43AXT1y7pA,"4phGZZrJZRo4ElhRtViYdl","I'm Yours","We Sing. We Dance. We Steal Things.","Jason Mraz",2008-05-12,242946,75,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-30T02:04:12Z,"acoustic pop,dance pop,neo mellow,pop",0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
3RauEVgRgj1IuWdJ9fDs70,"06HL4z0CvFAxyc27GXpf02","The Man","Lover","Taylor Swift",2019-08-23,190360,80,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-04-07T14:39:27Z,"pop",0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,4
6RRNNciQGZEXnqk8SQ9yv5,"06HL4z0CvFAxyc27GXpf02","You Need To Calm Down","Lover","Taylor Swift",2019-08-23,171360,79,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-04-07T14:40:16Z,"pop",0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,4
